Date,Time,Time2,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
10/1/2019,4:00:00 AM,PM,8365.87,8371.28,8321.99,8371.28,486.962632,30:00.0,4063779.289,6445,270.122409,2254175.021,0
10/1/2019,4:30:00 AM,PM,8371.13,8465,8359.64,8429.27,1754.035474,00:00.0,14776246.57,15121,988.406053,8326831.204,0
10/1/2019,5:00:00 AM,PM,8428.79,8497,8346,8380,2209.451812,30:00.0,18607519.78,17208,1205.553439,10152856.17,0
10/1/2019,5:30:00 AM,PM,8379.99,8395,8235,8277.22,2594.633383,00:00.0,21553396.14,17339,1023.778528,8505357.89,0
10/1/2019,6:00:00 AM,PM,8277.48,8333.2,8241.38,8296.45,1349.160372,30:00.0,11185123.87,10372,661.866537,5487874.638,0
10/1/2019,6:30:00 AM,PM,8296.29,8312.85,8266.8,8289,757.447524,00:00.0,6281914.195,7025,326.385453,2706755.207,0
10/1/2019,7:00:00 AM,PM,8289,8289,8225.38,8281.56,791.494412,30:00.0,6537107.688,8841,360.154202,2975651.047,0
10/1/2019,7:30:00 AM,PM,8281.54,8302.63,8266.08,8302.6,451.022981,00:00.0,3737503.427,5118,212.373409,1760094.155,0
10/1/2019,8:00:00 AM,PM,8302.6,8312.82,8275,8280.77,447.393595,30:00.0,3712516.619,4837,185.629569,1540019.06,0
10/1/2019,8:30:00 AM,PM,8280.04,8399,8280,8347,905.069186,00:00.0,7555521.664,8301,514.745305,4296980.104,0
10/1/2019,9:00:00 AM,PM,8347,8393.97,8346.23,8347.11,529.598134,30:00.0,4431329.105,5950,283.63318,2373304.467,0
10/1/2019,9:30:00 AM,PM,8347.11,8347.88,8283,8299.92,445.594916,00:00.0,3701831.907,5864,226.727334,1882526.819,0
10/1/2019,10:00:00 AM,PM,8299.9,8335,8270.01,8311,440.246308,30:00.0,3655810.908,5150,208.099325,1727387.574,0
10/1/2019,10:30:00 AM,PM,8310.91,8346.04,8293.17,8326.38,341.571569,00:00.0,2842590.629,4230,189.273768,1575198.899,0
10/1/2019,11:00:00 AM,PM,8326.87,8365,8280,8290.99,457.667058,30:00.0,3809232.254,5289,230.877795,1922682.696,0
10/1/2019,11:30:00 AM,PM,8291.29,8299.56,8265.08,8292.44,420.73619,00:00.0,3484167.423,4366,215.626303,1785931.727,0
10/2/2019,12:00:00 PM,AM,8292.67,8329,8265,8317.63,404.515357,30:00.0,3352519.844,5026,199.210707,1651735.846,0
10/2/2019,12:30:00 PM,AM,8317.75,8320.83,8284.2,8285.16,245.76854,00:00.0,2039801.948,3512,109.291488,907009.6858,0
10/2/2019,1:00:00 AM,AM,8285.07,8330,8274.77,8308.01,367.419119,30:00.0,3053730.955,4108,206.056144,1712636.02,0
10/2/2019,1:30:00 AM,AM,8307.5,8319.93,8276.34,8279.35,304.019455,00:00.0,2521427.379,3842,161.093571,1336197.608,0
10/2/2019,2:00:00 AM,AM,8279.26,8303.32,8266.5,8281.4,283.598929,30:00.0,2348563.94,4008,162.123365,1342704.248,0
